Y	1div10	1	10
   3.6860954e+01	   2.9940752e+00	   3.3077466e+00	   4.7404001e+00	
   3.7288213e+01	   3.0044446e+00	   3.3192024e+00	   4.7568176e+00	
   3.7720425e+01	   3.0148499e+00	   3.3306979e+00	   4.7732920e+00	
   3.8157647e+01	   3.0252913e+00	   3.3422331e+00	   4.7898234e+00	
   3.8599936e+01	   3.0357689e+00	   3.3538083e+00	   4.8064121e+00	
   3.9047352e+01	   3.0462827e+00	   3.3654236e+00	   4.8230583e+00	
   3.9499955e+01	   3.0568330e+00	   3.3770792e+00	   4.8397620e+00	
   3.9957803e+01	   3.0674197e+00	   3.3887751e+00	   4.8565237e+00	
   4.0420958e+01	   3.0780432e+00	   3.4005115e+00	   4.8733434e+00	
   4.0889482e+01	   3.0887034e+00	   3.4122885e+00	   4.8902213e+00	
   4.1363437e+01	   3.0994006e+00	   3.4241064e+00	   4.9071577e+00	
   4.1842885e+01	   3.1101348e+00	   3.4359652e+00	   4.9241527e+00	
   4.2327891e+01	   3.1209062e+00	   3.4478650e+00	   4.9412067e+00	
   4.2818518e+01	   3.1317149e+00	   3.4598061e+00	   4.9583196e+00	
   4.3314832e+01	   3.1425610e+00	   3.4717885e+00	   4.9754919e+00	
   4.3816899e+01	   3.1534447e+00	   3.4838124e+00	   4.9927236e+00	
   4.4324786e+01	   3.1643661e+00	   3.4958779e+00	   5.0100150e+00	
   4.4838559e+01	   3.1753253e+00	   3.5079853e+00	   5.0273663e+00	
   4.5358288e+01	   3.1863225e+00	   3.5201345e+00	   5.0447776e+00	
   4.5884041e+01	   3.1973577e+00	   3.5323259e+00	   5.0622493e+00	
   4.6415888e+01	   3.2084312e+00	   3.5445594e+00	   5.0797815e+00	
   4.6953900e+01	   3.2195430e+00	   3.5568354e+00	   5.0973744e+00	
   4.7498148e+01	   3.2306933e+00	   3.5691538e+00	   5.1150282e+00	
   4.8048704e+01	   3.2418822e+00	   3.5815150e+00	   5.1327432e+00	
   4.8605642e+01	   3.2531099e+00	   3.5939189e+00	   5.1505195e+00	
   4.9169036e+01	   3.2643764e+00	   3.6063658e+00	   5.1683574e+00	
   4.9738960e+01	   3.2756820e+00	   3.6188558e+00	   5.1862571e+00	
